Mutational_Signature	Proposed_etiology	Details	
S15	Defective DNA mismatch repair; INDEL driven	Defective DNA mismatch repair.	
S16	Unknown	Unknown.	
S17	Unknown	Unknown.	
S18	Reactive oxygen species	Damage by reactive oxygen species.	
S19	Unknown	Unknown.	
S20	Unknown	Unknown.	
S21	Defective	DNA mismatch repair deficiency.	
S22	Aristolochic acid exposure	Aristolochic acid exposure. Found in cancer samples with known exposures to aristolochic acid and the pattern of mutations exhibited by the signature is consistent with that observed in experimental systems of aristolochic acid exposure.	
S23	Unknown	Unknown.	
S24	Aflatoxin exposure	Aflatoxin exposure. Signature SBS24 has been found in cancer samples with known exposures to aflatoxin and the pattern of mutations exhibited by the signature is consistent with that observed in experimental systems exposed to alatoxin.	
S25	Unknown	"Unknown. However, some Hodgkin's cell line samples in which the signature has been found were from patients exposed to chemotherapy."	
S26	Defective DNA mismatch repair	Defective DNA mismatch repair.	
S27	Possible sequencing artefact.	Possible sequencing artefact.	
S28	Unknown	Unknown	
S29	Tobacco chewing	SBS29 has been found in cancer samples from indivisuals with a tobacco chewing habit.	
S30	Deficiency in base excision repair	"Due to deficiency in base excision repair and more specifically, to inactivating mutations in NTHL1."	
S31	Platinum durgs.	Prior chemotherapy treatment with platinum durgs.	
S32	Treatment with azathioprine	Prior treatment with azathioprine to induce immunosuppression.	
S33	Unknown	Unknown	
S34	Unknown	Unknown	
S35	Platinum treatment	Prior chemotherapy treatment with playinum durgs.	
S36	Defective base excision repair; MUTYH mutation	"Defective base excision repair, including DNA damage due to reactive oxygen species, due to biallelic germline or somatic MUTYH mutations."	
S37	Predominant in Prostate	Unknown	
S38	Indirect effect of ultraviolet light	Unknown. Found only in ultraviolet light associated melanomas suggesting a potential indirect damage from UV-light.\	
S39	Unknown	Unknown	
S40	Predominant in Kidney	Unknown	
S41	Unknown	Unknown	
S42	Occupational exposure to haloalkanes.	Occupational exposure to haloalkanes.	
S43	Unknown	Unknown. Possible sequencing artefact.	
S44	Defective mismatch repair	Defective DNA mismatch repair.	
S45	8-oxo-guanine	Likely artefact due to 8-oxo-guanine introduced during sequencing.	
S46	Likely sequencing artefact.	Likely sequencing artefact.	
S47	Likely sequencing artefact.	Likely sequencing artefact.	
S48	Likely sequencing artefact.	Likely sequencing artefact.	
S49	Possible sequencing artefact.	Possible sequencing artefact.	
S50	Likely sequencing artefact.	Likely sequencing artefact.	
S51	Possible sequencing artefact.	Possible sequencing artefact.	
S52	Possible sequencing artefact.	Possible sequencing artefact.	
S53	Likely sequencing artefact.	Likely sequencing artefact.	
S54	Potential sequencing artefact. 	Potential sequencing artefact. Potential contamination with germline variants.	
S55	Ultraviplet light exposure	Ultraviplet light exposure	
S56	Potential sequencing artefact. 	Potential sequencing artefact. 	
S57	Potential sequencing artefact. 	Potential sequencing artefact. 	
S58	Potential sequencing artefact. 	Potential sequencing artefact. 	
S59	Potential sequencing artefact. 	Potential sequencing artefact. 	
S60	Artifact Mode	Known sequencing artefact.	
